Vessel Name,Port call Type,Port Type,Port At call,ATA/ATD,Origin Port Name,Leg Start Port,Intransit,MMSI,IMO
MOROCCO STAR,DEPARTURE,Port,TANGER MED II,2022-08-24 18:46 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,TANGER MED II,2022-09-19 16:53 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,ALGECIRAS,2022-09-19 16:51 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,TANGER MED II,2022-09-19 14:37 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,ALGECIRAS,2022-09-19 14:26 UTC,TANGER MED II,TANGER MED II,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,ALGECIRAS,2022-09-19 13:00 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,TANGER MED II,2022-09-19 12:53 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO STAR,ARRIVAL,Port,TANGER MED II,2022-09-19 10:23 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,ALGECIRAS,2022-09-19 10:18 UTC,TANGER MED II,TANGER MED II,Not in Transit,242228000,7719430
MOROCCO SUN,DEPARTURE,Port,TANGER MED II,2022-09-19 08:54 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,ALGECIRAS,2022-09-19 08:54 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,TANGER MED II,2022-09-19 06:27 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,ALGECIRAS,2022-09-19 06:19 UTC,TANGER MED II,TANGER MED II,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,ALGECIRAS,2022-09-19 04:54 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,TANGER MED II,2022-09-19 04:42 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,ALGECIRAS,2022-09-19 02:58 UTC,TANGER MED II,TANGER MED II,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,TANGER MED II,2022-09-19 02:12 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,TANGER MED II,2022-09-19 01:27 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,ALGECIRAS,2022-09-19 00:47 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,TANGER MED II,2022-09-18 23:08 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,ALGECIRAS,2022-09-18 22:08 UTC,TANGER MED II,TANGER MED II,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,ALGECIRAS,2022-09-18 21:14 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,TANGER MED II,2022-09-18 20:49 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,ALGECIRAS,2022-09-18 18:34 UTC,TANGER MED II,TANGER MED II,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,TANGER MED II,2022-09-18 18:05 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,TANGER MED II,2022-09-18 17:06 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO SUN,DEPARTURE,Port,TANGER MED II,2022-09-19 16:53 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,ALGECIRAS,2022-09-19 16:51 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,TANGER MED II,2022-09-19 14:37 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,ALGECIRAS,2022-09-19 14:26 UTC,TANGER MED II,TANGER MED II,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,ALGECIRAS,2022-09-19 13:00 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,TANGER MED II,2022-09-19 12:53 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO STAR,ARRIVAL,Port,TANGER MED II,2022-09-19 10:23 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,ALGECIRAS,2022-09-19 10:18 UTC,TANGER MED II,TANGER MED II,Not in Transit,242228000,7719430
MOROCCO SUN,DEPARTURE,Port,TANGER MED II,2022-09-19 08:54 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,ALGECIRAS,2022-09-19 08:54 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,TANGER MED II,2022-09-19 06:27 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,ALGECIRAS,2022-09-19 06:19 UTC,TANGER MED II,TANGER MED II,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,ALGECIRAS,2022-09-19 04:54 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,TANGER MED II,2022-09-19 04:42 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,ALGECIRAS,2022-09-19 02:58 UTC,TANGER MED II,TANGER MED II,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,TANGER MED II,2022-09-19 02:12 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,TANGER MED II,2022-09-19 01:27 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,ALGECIRAS,2022-09-19 00:47 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,TANGER MED II,2022-09-18 23:08 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,ALGECIRAS,2022-09-18 22:08 UTC,TANGER MED II,TANGER MED II,Not in Transit,242579300,7803190
MOROCCO SUN,DEPARTURE,Port,ALGECIRAS,2022-09-18 21:14 UTC,-,-,Not in Transit,242228000,7719430
MOROCCO STAR,DEPARTURE,Port,TANGER MED II,2022-09-18 20:49 UTC,-,-,Not in Transit,242579300,7803190
MOROCCO SUN,ARRIVAL,Port,ALGECIRAS,2022-09-18 18:34 UTC,TANGER MED II,TANGER MED II,Not in Transit,242228000,7719430
MOROCCO STAR,ARRIVAL,Port,TANGER MED II,2022-09-18 18:05 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,242579300,7803190
